Phase,Iteration,Time,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_wheel,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
Starting,0,0,0,1,110.881,13.1031,97.7778,4.62004,0.717125,15.8929,9.25319,15.4001,15.7144,17.6566,18.3923,48.3923,32.2616,12.2616
Accelerating,1,0.5,0.5,1,110.881,4.30275,97.7778,4.62004,0.717125,15.8929,9.25319,15.4001,15.7144,17.6566,18.3923,48.3923,32.2616,12.2616
Accelerating,2,1,1.04487,1.08973,110.881,4.3295,106.551,4.62004,0.721584,15.8929,19.3367,32.1821,32.8389,36.8976,38.435,68.435,45.6234,25.6234
Accelerating,3,1.5,1.58958,1.08943,110.881,4.35929,106.522,4.62004,0.726548,15.8929,29.4174,48.9594,49.9586,56.1332,58.4721,88.4721,58.9814,38.9814
Accelerating,4,2,2.13414,1.08911,110.881,4.38973,106.491,4.62004,0.731622,15.8929,39.4951,65.7319,67.0734,75.3634,78.5035,108.503,72.3357,52.3357
Accelerating,5,2.5,2.67853,1.0888,110.881,4.42083,106.46,4.62004,0.736804,15.8929,49.57,82.4995,84.1832,94.5879,98.529,128.529,85.686,65.686
Accelerating,6,3,3.22277,1.08847,110.881,4.45257,106.428,4.62004,0.742095,15.8929,59.6418,99.2621,101.288,113.807,118.549,148.549,99.0324,79.0324
Accelerating,7,3.5,3.76684,1.08814,110.881,4.48497,106.396,4.62004,0.747495,15.8929,69.7106,116.02,118.387,133.02,138.562,168.562,112.375,92.3747
Accelerating,8,4,4.31074,1.0878,110.881,4.51802,106.363,4.62004,0.753003,15.8929,79.7762,132.772,135.482,152.226,158.569,188.569,125.713,105.713
Accelerating,9,4.5,4.85447,1.08746,110.881,4.55172,106.329,4.62004,0.758619,15.8929,89.8387,149.519,152.57,171.427,178.57,208.57,139.047,119.047
Accelerating,10,5,5.39802,1.08711,110.881,4.58606,106.295,4.62004,0.764344,15.8929,99.8979,166.261,169.654,190.622,198.565,228.565,152.376,132.376
Accelerating,11,5.5,5.9414,1.08675,110.881,4.62106,106.26,4.62004,0.770176,15.8929,109.954,182.997,186.731,209.81,218.552,248.552,165.702,145.702
Accelerating,12,6,6.48459,1.08638,110.881,4.6567,106.224,4.62004,0.776116,15.8929,120.006,199.727,203.803,228.992,238.534,268.534,179.022,159.022
