Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Starting,0,0,0,1,115.881,13.1037,102.778
Accelerating,1,0.5,0.5,1,115.881,4.30328,102.778
Accelerating,2,1,1.04268,1.08537,115.881,4.33003,111.551
Accelerating,3,1.5,1.58522,1.08508,115.881,4.3597,111.522
Accelerating,4,2,2.12761,1.08478,115.881,4.39001,111.491
Accelerating,5,2.5,2.66985,1.08448,115.881,4.42098,111.46
Accelerating,6,3,3.21194,1.08417,115.881,4.45259,111.429
Accelerating,7,3.5,3.75387,1.08386,115.881,4.48485,111.397
Accelerating,8,4,4.29564,1.08354,115.881,4.51775,111.364
Accelerating,9,4.5,4.83724,1.08321,115.881,4.5513,111.33
Accelerating,10,5,5.37868,1.08288,115.881,4.58549,111.296
Accelerating,11,5.5,5.91995,1.08254,115.881,4.62033,111.261
Accelerating,12,6,6.46105,1.0822,115.881,4.65581,111.226
Accelerating,13,6.5,7.00197,1.08184,115.881,4.69193,111.19
Accelerating,14,7,7.54272,1.08149,115.881,4.72869,111.153
Accelerating,15,7.5,8.08328,1.08112,115.881,4.76609,111.115
Accelerating,16,8,8.62365,1.08075,115.881,4.80414,111.077
Accelerating,17,8.5,9.16384,1.08038,115.881,4.84282,111.039
Accelerating,18,9,9.70384,1.07999,115.881,4.88213,110.999
Accelerating,19,9.5,10.2436,1.0796,115.881,4.92209,110.959
Accelerating,20,10,10.7832,1.07921,115.881,4.96268,110.919
Accelerating,21,10.5,11.3227,1.07881,115.881,5.0039,110.878
Accelerating,22,11,11.8619,1.0784,115.881,5.04576,110.836
Accelerating,23,11.5,12.4008,1.07799,115.881,5.08825,110.793
Accelerating,24,12,12.9396,1.07757,115.881,5.13137,110.75
Accelerating,25,12.5,13.4782,1.07714,115.881,5.17513,110.706
Accelerating,26,13,14.0166,1.07671,115.881,5.21951,110.662
Accelerating,27,13.5,14.5547,1.07627,115.881,5.26452,110.617
Accelerating,28,14,15.0926,1.07583,115.881,5.31016,110.571
Accelerating,29,14.5,15.6303,1.07538,115.881,5.35643,110.525
Accelerating,30,15,16.1678,1.07492,115.881,5.40332,110.478
Accelerating,31,15.5,16.705,1.07446,115.881,5.45084,110.431
Accelerating,32,16,17.242,1.07399,115.881,5.49898,110.382
Accelerating,33,16.5,17.7787,1.07352,115.881,5.54774,110.334
Accelerating,34,17,18.3153,1.07304,115.881,5.59713,110.284
Accelerating,35,17.5,18.8515,1.07255,115.881,5.64713,110.234
Accelerating,36,18,19.3876,1.07206,115.881,5.69775,110.184
Accelerating,37,18.5,19.9233,1.07156,115.881,5.74899,110.132
Accelerating,38,19,20.4589,1.07105,115.881,5.80085,110.081
Accelerating,39,19.5,20.9941,1.07054,115.881,5.85332,110.028
Accelerating,40,20,21.5292,1.07003,115.881,5.90641,109.975
Accelerating,41,20.5,22.0639,1.0695,115.881,5.96011,109.921
Accelerating,42,21,22.5984,1.06898,115.881,6.01442,109.867
Accelerating,43,21.5,23.1326,1.06844,115.881,6.06934,109.812
