Phase,Iteration,Time,Total time,Distance,TotalDistance,Speed,Acceleration,F Motor,F Res,F Total,F Motor/TM,F Res/TM,Torque,RPM,P_motor Out,P_motor In,P_vvvf, P_catenary,Catenary current,VVVF current
,1,0,0,0,0,0,1,0,13.1031,0,0,0,0,0,0,0,0,0,0,0
Accelerating,2,0,0,0,0,0.5,1,110.881,4.30275,97.7778,4.62004,0.717125,15.8929,9.25319,15.7144,17.6566,18.3923,48.3923,32.2616,12.2616
Accelerating,3,0.5,0.5,0,0,1.04487,1.08973,110.881,4.3295,106.551,4.62004,0.721584,15.8929,19.3367,32.8389,36.8976,38.435,68.435,45.6234,25.6234
Accelerating,4,0.544865,1.04487,0.173611,0.173611,1.58958,1.08943,110.881,4.35929,106.522,4.62004,0.726548,15.8929,29.4174,49.9586,56.1332,58.4721,88.4721,58.9814,38.9814
Accelerating,5,0.49986,1.54473,0.335173,0.508784,2.13414,1.08911,110.881,4.38973,106.491,4.62004,0.731622,15.8929,39.4951,67.0734,75.3634,78.5035,108.503,72.3357,52.3357
Accelerating,6,0.499857,2.04458,0.479356,0.98814,2.67853,1.0888,110.881,4.42083,106.46,4.62004,0.736804,15.8929,49.57,84.1832,94.5879,98.529,128.529,85.686,65.686
Accelerating,7,0.499854,2.54444,0.63061,1.61875,3.22277,1.08847,110.881,4.45257,106.428,4.62004,0.742095,15.8929,59.6418,101.288,113.807,118.549,148.549,99.0324,79.0324
Accelerating,8,0.499851,3.04429,0.78182,2.40057,3.76684,1.08814,110.881,4.48497,106.396,4.62004,0.747495,15.8929,69.7106,118.387,133.02,138.562,168.562,112.375,92.3747
Accelerating,9,0.499848,3.54414,0.932985,3.33356,4.31074,1.0878,110.881,4.51802,106.363,4.62004,0.753003,15.8929,79.7762,135.482,152.226,158.569,188.569,125.713,105.713
Accelerating,10,0.499845,4.04398,1.0841,4.41766,4.85447,1.08746,110.881,4.55172,106.329,4.62004,0.758619,15.8929,89.8387,152.57,171.427,178.57,208.57,139.047,119.047
Accelerating,11,0.499842,4.54382,1.23518,5.65284,5.39802,1.08711,110.881,4.58606,106.295,4.62004,0.764344,15.8929,99.8979,169.654,190.622,198.565,228.565,152.376,132.376
Accelerating,12,0.499838,5.04366,1.3862,7.03903,5.9414,1.08675,110.881,4.62106,106.26,4.62004,0.770176,15.8929,109.954,186.731,209.81,218.552,248.552,165.702,145.702
Accelerating,13,0.499835,5.5435,1.53717,8.57621,6.48459,1.08638,110.881,4.6567,106.224,4.62004,0.776116,15.8929,120.006,203.803,228.992,238.534,268.534,179.022,159.022
Accelerating,14,0.499832,6.04333,1.6881,10.2643,7.0276,1.08601,110.881,4.69299,106.188,4.62004,0.782164,15.8929,130.055,220.869,248.168,258.508,288.508,192.339,172.339
Accelerating,15,0.499829,6.54316,1.83897,12.1033,7.57041,1.08564,110.881,4.72992,106.151,4.62004,0.78832,15.8929,140.101,237.929,267.336,278.475,308.475,205.65,185.65
Accelerating,16,0.499826,7.04298,1.98979,14.0931,8.11304,1.08525,110.881,4.7675,106.113,4.62004,0.794583,15.8929,150.143,254.983,286.498,298.436,328.436,218.957,198.957
Accelerating,17,0.499823,7.54281,2.14056,16.2336,8.65547,1.08486,110.881,4.80572,106.075,4.62004,0.800953,15.8929,160.181,272.031,305.653,318.389,348.389,232.259,212.259
Accelerating,18,0.49982,8.04263,2.29128,18.5249,9.1977,1.08446,110.881,4.84458,106.036,4.62004,0.807431,15.8929,170.216,289.073,324.801,338.335,368.335,245.556,225.556
Accelerating,19,0.499817,8.54244,2.44194,20.9668,9.73973,1.08406,110.881,4.88409,105.997,4.62004,0.814015,15.8929,180.247,306.108,343.942,358.273,388.273,258.849,238.849
Accelerating,20,0.499814,9.04226,2.59254,23.5594,10.2816,1.08365,110.881,4.92424,105.957,4.62004,0.820706,15.8929,190.274,323.137,363.076,378.204,408.204,272.136,252.136
Accelerating,21,0.499811,9.54207,2.74309,26.3025,10.8232,1.08323,110.881,4.96502,105.916,4.62004,0.827504,15.8929,200.298,340.16,382.202,398.127,428.127,285.418,265.418
Accelerating,22,0.499808,10.0419,2.89359,29.1961,11.3646,1.08281,110.881,5.00645,105.874,4.62004,0.834408,15.8929,210.317,357.175,401.321,418.042,448.042,298.695,278.695
Accelerating,23,0.499804,10.5417,3.04402,32.2401,11.9058,1.08238,110.881,5.04851,105.832,4.62004,0.841418,15.8929,220.333,374.184,420.432,437.95,467.95,311.966,291.966
Accelerating,24,0.499801,11.0415,3.19439,35.4345,12.4467,1.08194,110.881,5.09121,105.79,4.62004,0.848535,15.8929,230.344,391.186,439.535,457.849,487.849,325.233,305.233
Accelerating,25,0.499798,11.5413,3.34471,38.7792,12.9875,1.0815,110.881,5.13455,105.746,4.62004,0.855758,15.8929,240.351,408.181,458.631,477.74,507.74,338.494,318.494
Accelerating,26,0.499795,12.0411,3.49496,42.2742,13.528,1.08105,110.881,5.17852,105.702,4.62004,0.863086,15.8929,250.354,425.169,477.718,497.623,527.623,351.749,331.749
Accelerating,27,0.499792,12.5409,3.64515,45.9193,14.0683,1.08059,110.881,5.22312,105.658,4.62004,0.87052,15.8929,260.353,442.15,496.798,517.498,547.498,364.999,344.999
Accelerating,28,0.499789,13.0407,3.79528,49.7146,14.6084,1.08013,110.881,5.26835,105.613,4.62004,0.878059,15.8929,270.348,459.124,515.869,537.364,567.364,378.243,358.243
Accelerating,29,0.499786,13.5404,3.94535,53.6599,15.1482,1.07966,110.881,5.31422,105.567,4.62004,0.885704,15.8929,280.338,476.09,534.933,557.222,587.222,391.481,371.481
Accelerating,30,0.499783,14.0402,4.09535,57.7553,15.6878,1.07918,110.881,5.36072,105.52,4.62004,0.893453,15.8929,290.324,493.049,553.987,577.07,607.07,404.713,384.713
Accelerating,31,0.49978,14.54,4.24529,62.0006,16.2271,1.0787,110.881,5.40784,105.473,4.62004,0.901307,15.8929,300.306,510,573.034,596.91,626.91,417.94,397.94
Accelerating,32,0.499777,15.0398,4.39516,66.3957,16.7662,1.07821,110.881,5.4556,105.425,4.62004,0.909267,15.8929,310.283,526.943,592.071,616.741,646.741,431.161,411.161
Accelerating,33,0.499774,15.5396,4.54496,70.9407,17.3051,1.07772,110.881,5.50398,105.377,4.62004,0.91733,15.8929,320.255,543.879,611.1,636.563,666.563,444.375,424.375
Accelerating,34,0.499771,16.0393,4.69469,75.6354,17.8437,1.07722,110.881,5.55299,105.328,4.62004,0.925498,15.8929,330.223,560.807,630.12,656.375,686.375,457.584,437.584
Accelerating,35,0.499767,16.5391,4.84436,80.4798,18.3821,1.07671,110.881,5.60262,105.278,4.62004,0.93377,15.8929,340.186,577.727,649.131,676.179,706.179,470.786,450.786
Accelerating,36,0.499764,17.0389,4.99396,85.4737,18.9202,1.0762,110.881,5.65287,105.228,4.62004,0.942145,15.8929,350.144,594.639,668.133,695.972,725.972,483.982,463.982
Accelerating,37,0.499761,17.5386,5.14348,90.6172,19.458,1.07568,110.881,5.70375,105.177,4.62004,0.950625,15.8929,360.097,611.542,687.126,715.756,745.756,497.171,477.171
Accelerating,38,0.499758,18.0384,5.29293,95.9101,19.9956,1.07515,110.881,5.75525,105.126,4.62004,0.959208,15.8929,370.046,628.438,706.11,735.531,765.531,510.354,490.354
Accelerating,39,0.499755,18.5381,5.44231,101.352,20.5329,1.07462,110.881,5.80736,105.074,4.62004,0.967894,15.8929,379.99,645.325,725.084,755.296,785.296,523.53,503.53
Accelerating,40,0.499752,19.0379,5.59162,106.944,21.0699,1.07408,110.881,5.8601,105.021,4.62004,0.976683,15.8929,389.928,662.203,744.048,775.05,805.05,536.7,516.7
Accelerating,41,0.499749,19.5376,5.74086,112.685,21.6067,1.07353,110.881,5.91345,104.967,4.62004,0.985575,15.8929,399.862,679.073,763.003,794.795,824.795,549.863,529.863
Accelerating,42,0.499746,20.0374,5.89001,118.575,22.1432,1.07298,110.881,5.96742,104.914,4.62004,0.994569,15.8929,409.79,695.934,781.949,814.53,844.53,563.02,543.02
Accelerating,43,0.499743,20.5371,6.0391,124.614,22.6794,1.07242,110.881,6.022,104.859,4.62004,1.00367,15.8929,419.714,712.787,800.884,834.254,864.254,576.169,556.169
Accelerating,44,0.49974,21.0369,6.1881,130.802,23.2153,1.07186,110.881,6.07719,104.804,4.62004,1.01287,15.8929,429.632,729.63,819.809,853.968,883.968,589.312,569.312
Accelerating,45,0.499737,21.5366,6.33703,137.139,23.751,1.07129,110.881,6.133,104.748,4.62004,1.02217,15.8929,439.544,746.465,838.725,873.672,903.672,602.448,582.448
Accelerating,46,0.499734,22.0363,6.48588,143.625,24.2863,1.07071,110.881,6.18942,104.692,4.62004,1.03157,15.8929,449.452,763.291,857.63,893.364,923.364,615.576,595.576
Accelerating,47,0.499731,22.5361,6.63465,150.26,24.8214,1.07013,110.881,6.24644,104.634,4.62004,1.04107,15.8929,459.354,780.107,876.525,913.046,943.046,628.698,608.698
Accelerating,48,0.499728,23.0358,6.78334,157.043,25.3561,1.06954,110.881,6.30408,104.577,4.62004,1.05068,15.8929,469.251,796.914,895.409,932.718,962.718,641.812,621.812
Accelerating,49,0.499725,23.5355,6.93194,163.975,25.8906,1.06894,110.881,6.36232,104.519,4.62004,1.06039,15.8929,479.142,813.712,914.283,952.378,982.378,654.919,634.919
Accelerating,50,0.499722,24.0352,7.08047,171.055,26.4248,1.06834,110.881,6.42116,104.46,4.62004,1.07019,15.8929,489.027,830.5,933.146,972.027,1002.03,668.018,648.018
Accelerating,51,0.499718,24.535,7.22891,178.284,26.9586,1.06773,110.881,6.48061,104.4,4.62004,1.0801,15.8929,498.907,847.279,951.999,991.665,1021.67,681.11,661.11
Accelerating,52,0.499715,25.0347,7.37727,185.662,27.4922,1.06712,110.881,6.54066,104.34,4.62004,1.09011,15.8929,508.781,864.048,970.84,1011.29,1041.29,694.195,674.195
Accelerating,53,0.499712,25.5344,7.52555,193.187,28.0255,1.0665,110.881,6.60131,104.28,4.62004,1.10022,15.8929,518.65,880.807,989.671,1030.91,1060.91,707.272,687.272
