Speed,F Motor,P_vvvf,P_catenary,Catenary current,VVVFcurrent
 0,13.1031,18.3923,48.3923,32.2616,12.2616
0.5,4.30275,18.3923,48.3923,32.2616,12.2616
1.04487,4.3295,38.435,68.435,45.6234,25.6234
1.58958,4.35929,58.4721,88.4721,58.9814,38.9814
2.13414,4.38973,78.5035,108.503,72.3357,52.3357
2.67853,4.42083,98.529,128.529,85.686,65.686
3.22277,4.45257,118.549,148.549,99.0324,79.0324
3.76684,4.48497,138.562,168.562,112.375,92.3747
4.31074,4.51802,158.569,188.569,125.713,105.713
4.85447,4.55172,178.57,208.57,139.047,119.047
5.39802,4.58606,198.565,228.565,152.376,132.376
5.9414,4.62106,218.552,248.552,165.702,145.702
6.48459,4.6567,238.534,268.534,179.022,159.022
7.0276,4.69299,258.508,288.508,192.339,172.339
7.57041,4.72992,278.475,308.475,205.65,185.65
8.11304,4.7675,298.436,328.436,218.957,198.957
8.65547,4.80572,318.389,348.389,232.259,212.259
9.1977,4.84458,338.335,368.335,245.556,225.556
9.73973,4.88409,358.273,388.273,258.849,238.849
10.2816,4.92424,378.204,408.204,272.136,252.136
10.8232,4.96502,398.127,428.127,285.418,265.418
11.3646,5.00645,418.042,448.042,298.695,278.695
11.9058,5.04851,437.95,467.95,311.966,291.966
12.4467,5.09121,457.849,487.849,325.233,305.233
12.9875,5.13455,477.74,507.74,338.494,318.494
13.528,5.17852,497.623,527.623,351.749,331.749
14.0683,5.22312,517.498,547.498,364.999,344.999
14.6084,5.26835,537.364,567.364,378.243,358.243
15.1482,5.31422,557.222,587.222,391.481,371.481
15.6878,5.36072,577.07,607.07,404.713,384.713
16.2271,5.40784,596.91,626.91,417.94,397.94
16.7662,5.4556,616.741,646.741,431.161,411.161
17.3051,5.50398,636.563,666.563,444.375,424.375
17.8437,5.55299,656.375,686.375,457.584,437.584
18.3821,5.60262,676.179,706.179,470.786,450.786
18.9202,5.65287,695.972,725.972,483.982,463.982
19.458,5.70375,715.756,745.756,497.171,477.171
19.9956,5.75525,735.531,765.531,510.354,490.354
20.5329,5.80736,755.296,785.296,523.53,503.53
21.0699,5.8601,775.05,805.05,536.7,516.7
21.6067,5.91345,794.795,824.795,549.863,529.863
22.1432,5.96742,814.53,844.53,563.02,543.02
22.6794,6.022,834.254,864.254,576.169,556.169
23.2153,6.07719,853.968,883.968,589.312,569.312
23.751,6.133,873.672,903.672,602.448,582.448
24.2863,6.18942,893.364,923.364,615.576,595.576
24.8214,6.24644,913.046,943.046,628.698,608.698
25.3561,6.30408,932.718,962.718,641.812,621.812
25.8906,6.36232,952.378,982.378,654.919,634.919
26.4248,6.42116,972.027,1002.03,668.018,648.018
26.9586,6.48061,991.665,1021.67,681.11,661.11
27.4922,6.54066,1011.29,1041.29,694.195,674.195
28.0255,6.60131,1030.91,1060.91,707.272,687.272
28.5584,6.66256,1050.51,1080.51,720.341,700.341
29.091,6.72441,1070.1,1100.1,733.402,713.402
29.6233,6.78686,1089.68,1119.68,746.456,726.456
30.1553,6.8499,1109.25,1139.25,759.502,739.502
30.6869,6.91353,1128.81,1158.81,772.54,752.54
31.2183,6.97775,1148.35,1178.35,785.569,765.569
31.7493,7.04257,1167.89,1197.89,798.591,778.591
32.2799,7.10797,1187.41,1217.41,811.604,791.604
32.8102,7.17396,1206.91,1236.91,824.609,804.609
33.3402,7.24053,1226.41,1256.41,837.606,817.606
33.8698,7.30769,1245.89,1275.89,850.594,830.594
34.3991,7.37544,1265.36,1295.36,863.574,843.574
34.9281,7.44376,1284.82,1314.82,876.545,856.545
35.4567,7.51266,1304.26,1334.26,889.508,869.508
35.9776,7.58214,1306.38,1336.38,890.92,870.92
36.4901,7.65122,1305.8,1335.8,890.535,870.535
36.9944,7.71977,1305.26,1335.26,890.173,870.173
37.491,7.78781,1304.75,1334.75,889.831,869.831
37.9802,7.85536,1304.26,1334.26,889.508,869.508
38.4622,7.92243,1303.8,1333.8,889.202,869.202
38.9373,7.98905,1303.37,1333.37,888.912,868.912
39.4058,8.05521,1302.95,1332.95,888.636,868.636
39.8679,8.12095,1302.56,1332.56,888.374,868.374
40.3238,8.18627,1302.19,1332.19,888.125,868.125
40.7737,8.25118,1301.83,1331.83,887.887,867.887
41.2179,8.3157,1301.49,1331.49,887.66,867.66
41.6566,8.37983,1301.16,1331.16,887.443,867.443
42.0898,8.4436,1300.85,1330.85,887.236,867.236
42.5178,8.507,1300.56,1330.56,887.037,867.037
42.9407,8.57004,1300.27,1330.27,886.847,866.847
43.3587,8.63274,1300,1330,886.665,866.665
43.7719,8.69511,1299.73,1329.73,886.489,866.489
44.1805,8.75714,1299.48,1329.48,886.321,866.321
44.5846,8.81885,1299.24,1329.24,886.16,866.16
44.9843,8.88025,1299.01,1329.01,886.004,866.004
45.3798,8.94134,1298.78,1328.78,885.854,865.854
45.771,9.00213,1298.56,1328.56,885.71,865.71
46.1583,9.06262,1298.36,1328.36,885.571,865.571
46.5416,9.12283,1298.15,1328.15,885.436,865.436
46.921,9.18274,1297.96,1327.96,885.307,865.307
47.2967,9.24239,1297.77,1327.77,885.182,865.182
47.6687,9.30175,1297.59,1327.59,885.061,865.061
48.0372,9.36085,1297.42,1327.42,884.943,864.943
48.4021,9.41969,1297.25,1327.25,884.83,864.83
48.7636,9.47826,1297.08,1327.08,884.72,864.72
49.1218,9.53658,1296.92,1326.92,884.614,864.614
49.4768,9.59465,1296.77,1326.77,884.511,864.511
49.8285,9.65247,1296.62,1326.62,884.411,864.411
50.1771,9.71005,1296.47,1326.47,884.314,864.314
50.5227,9.76739,1296.33,1326.33,884.22,864.22
50.8652,9.82449,1296.19,1326.19,884.129,864.129
51.2049,9.88136,1296.06,1326.06,884.04,864.04
51.5416,9.93801,1295.93,1325.93,883.954,863.954
51.8755,9.99442,1295.81,1325.81,883.87,863.87
52.2067,10.0506,1295.68,1325.68,883.789,863.789
52.5351,10.1066,1295.56,1325.56,883.709,863.709
52.8609,10.1623,1295.45,1325.45,883.632,863.632
53.1841,10.2179,1295.33,1325.33,883.557,863.557
53.5047,10.2732,1295.23,1325.23,883.483,863.483
53.8228,10.3283,1295.12,1325.12,883.412,863.412
54.1384,10.3833,1295.01,1325.01,883.342,863.342
54.4516,10.438,1294.91,1324.91,883.275,863.275
54.7624,10.4925,1294.81,1324.81,883.208,863.208
55.0709,10.5468,1294.72,1324.72,883.144,863.144
55.377,10.6009,1294.62,1324.62,883.081,863.081
55.6809,10.6548,1294.53,1324.53,883.019,863.019
55.9825,10.7086,1294.44,1324.44,882.959,862.959
56.282,10.7621,1294.35,1324.35,882.9,862.9
56.5793,10.8154,1294.26,1324.26,882.843,862.843
56.8745,10.8686,1294.18,1324.18,882.787,862.787
57.1675,10.9216,1294.1,1324.1,882.732,862.732
57.4586,10.9744,1294.02,1324.02,882.679,862.679
57.7476,11.027,1293.94,1323.94,882.626,862.626
58.0345,11.0794,1293.86,1323.86,882.575,862.575
58.3196,11.1317,1293.79,1323.79,882.525,862.525
58.6027,11.1837,1293.71,1323.71,882.476,862.476
58.8839,11.2356,1293.64,1323.64,882.428,862.428
59.1632,11.2874,1293.57,1323.57,882.38,862.38
59.4406,11.3389,1293.5,1323.5,882.334,862.334
59.7162,11.3903,1293.43,1323.43,882.289,862.289
59.99,11.4415,1293.37,1323.37,882.245,862.245
60.2621,11.4926,1293.3,1323.3,882.202,862.202
60.5324,11.5435,1293.24,1323.24,882.159,862.159
60.8009,11.5942,1293.18,1323.18,882.117,862.117
61.0678,11.6448,1293.11,1323.11,882.076,862.076
61.3329,11.6952,1293.05,1323.05,882.036,862.036
