P_vvvf(kW),P_catenary(kW),Catenary current(A),VVVFcurrent(A)
 18.3923,48.3923,12.2616,32.2616
36.7847,66.7847,24.5231,44.5231
55.177,85.177,36.7847,56.7847
73.5694,103.569,49.0462,69.0462
91.9617,121.962,61.3078,81.3078
110.354,140.354,73.5694,93.5694
128.746,158.746,85.8309,105.831
147.139,177.139,98.0925,118.092
165.531,195.531,110.354,130.354
183.923,213.923,122.616,142.616
202.316,232.316,134.877,154.877
220.708,250.708,147.139,167.139
239.1,269.1,159.4,179.4
257.493,287.493,171.662,191.662
275.885,305.885,183.923,203.923
294.277,324.277,196.185,216.185
312.67,342.67,208.447,228.447
331.062,361.062,220.708,240.708
349.454,379.454,232.97,252.97
367.847,397.847,245.231,265.231
386.239,416.239,257.493,277.493
404.632,434.632,269.754,289.754
423.024,453.024,282.016,302.016
441.416,471.416,294.277,314.277
459.809,489.809,306.539,326.539
478.201,508.201,318.801,338.801
496.593,526.593,331.062,351.062
514.986,544.986,343.324,363.324
533.378,563.378,355.585,375.585
551.77,581.77,367.847,387.847
570.163,600.163,380.108,400.108
588.555,618.555,392.37,412.37
606.947,636.947,404.632,424.632
625.34,655.34,416.893,436.893
643.732,673.732,429.155,449.155
662.124,692.124,441.416,461.416
680.517,710.517,453.678,473.678
698.909,728.909,465.939,485.939
717.301,747.301,478.201,498.201
735.694,765.694,490.462,510.462
754.086,784.086,502.724,522.724
772.478,802.478,514.986,534.986
790.871,820.871,527.247,547.247
809.263,839.263,539.509,559.509
827.655,857.655,551.77,571.77
846.048,876.048,564.032,584.032
864.44,894.44,576.293,596.293
882.832,912.832,588.555,608.555
901.225,931.225,600.817,620.817
919.617,949.617,613.078,633.078
938.009,968.009,625.34,645.34
956.402,986.402,637.601,657.601
974.794,1004.79,649.863,669.863
993.186,1023.19,662.124,682.124
1011.58,1041.58,674.386,694.386
1029.97,1059.97,686.647,706.647
1048.36,1078.36,698.909,718.909
1066.76,1096.76,711.171,731.171
1085.15,1115.15,723.432,743.432
1103.54,1133.54,735.694,755.694
1121.93,1151.93,747.955,767.955
1140.33,1170.33,760.217,780.217
1158.72,1188.72,772.478,792.478
1177.11,1207.11,784.74,804.74
1195.5,1225.5,797.001,817.001
1213.89,1243.89,809.263,829.263
1232.29,1262.29,821.525,841.525
1250.68,1280.68,833.786,853.786
1269.07,1299.07,846.048,866.048
1287.46,1317.46,858.309,878.309
1305.86,1335.86,870.571,890.571
1305.6,1335.6,870.398,890.398
1305.35,1335.35,870.23,890.23
1305.1,1335.1,870.067,890.067
1304.86,1334.86,869.908,889.908
1304.63,1334.63,869.753,889.753
1304.4,1334.4,869.603,889.603
1304.18,1334.18,869.456,889.456
1303.97,1333.97,869.313,889.313
1303.76,1333.76,869.174,889.174
1303.56,1333.56,869.038,889.038
1303.36,1333.36,868.906,888.906
1303.16,1333.16,868.776,888.776
1302.98,1332.98,868.65,888.65
1302.79,1332.79,868.527,888.527
1302.61,1332.61,868.407,888.407
1302.43,1332.43,868.29,888.29
1302.26,1332.26,868.175,888.175
1302.09,1332.09,868.063,888.063
1301.93,1331.93,867.953,887.953
1301.77,1331.77,867.846,887.846
1301.61,1331.61,867.741,887.741
1301.46,1331.46,867.639,887.639
1301.31,1331.31,867.538,887.538
1301.16,1331.16,867.44,887.44
1301.02,1331.02,867.344,887.344
1300.88,1330.88,867.25,887.25
1300.74,1330.74,867.158,887.158
1300.6,1330.6,867.068,887.068
1300.47,1330.47,866.979,886.979
1300.34,1330.34,866.892,886.892
1300.21,1330.21,866.807,886.807
1300.09,1330.09,866.724,886.724
1299.96,1329.96,866.642,886.642
1299.84,1329.84,866.562,886.562
1299.73,1329.73,866.484,886.484
1299.61,1329.61,866.407,886.407
1299.5,1329.5,866.331,886.331
1299.38,1329.38,866.257,886.257
1299.28,1329.28,866.184,886.184
1299.17,1329.17,866.112,886.112
1299.06,1329.06,866.042,886.042
1298.96,1328.96,865.973,885.973
1298.86,1328.86,865.905,885.905
1298.76,1328.76,865.838,885.838
1298.66,1328.66,865.773,885.773
1298.56,1328.56,865.709,885.709
1298.47,1328.47,865.645,885.645
1298.37,1328.37,865.583,885.583
1298.28,1328.28,865.522,885.522
1298.19,1328.19,865.462,885.462
1298.1,1328.1,865.403,885.403
1298.02,1328.02,865.345,885.345
1297.93,1327.93,865.287,885.287
1297.85,1327.85,865.231,885.231
1297.76,1327.76,865.176,885.176
1297.68,1327.68,865.121,885.121
