Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Starting,0,0,0,1,115.881,13.1037,102.778
Accelerating,1,0.5,1,1,115.881,4.30328,102.778
Accelerating,2,1,2,1.0851,115.881,4.35734,111.524
Accelerating,3,1.5,3,1.08455,115.881,4.41363,111.468
Accelerating,4,2,4,1.08398,115.881,4.47216,111.409
Accelerating,5,2.5,5,1.08339,115.881,4.53291,111.349
Accelerating,6,3,6,1.08278,115.881,4.5959,111.286
Accelerating,7,3.5,7,1.08214,115.881,4.66111,111.22
Accelerating,8,4,8,1.08149,115.881,4.72856,111.153
Accelerating,9,4.5,9,1.08081,115.881,4.79823,111.083
Accelerating,10,5,10,1.08011,115.881,4.87014,111.011
Accelerating,11,5.5,11,1.07939,115.881,4.94428,110.937
Accelerating,12,6,12,1.07865,115.881,5.02064,110.861
Accelerating,13,6.5,13,1.07788,115.881,5.09924,110.782
Accelerating,14,7,14,1.07709,115.881,5.18007,110.701
Accelerating,15,7.5,15,1.07629,115.881,5.26313,110.618
Accelerating,16,8,16,1.07546,115.881,5.34842,110.533
Accelerating,17,8.5,17,1.07461,115.881,5.43594,110.446
Accelerating,18,9,18,1.07373,115.881,5.52569,110.356
Accelerating,19,9.5,19,1.07284,115.881,5.61767,110.264
Accelerating,20,10,20,1.07192,115.881,5.71188,110.17
Accelerating,21,10.5,21,1.07098,115.881,5.80832,110.073
Accelerating,22,11,22,1.07002,115.881,5.907,109.974
Accelerating,23,11.5,23,1.06904,115.881,6.0079,109.874
Accelerating,24,12,24,1.06804,115.881,6.11103,109.77
Accelerating,25,12.5,25,1.06701,115.881,6.21639,109.665
Accelerating,26,13,26,1.06596,115.881,6.32399,109.557
Accelerating,27,13.5,27,1.0649,115.881,6.43381,109.448
Accelerating,28,14,28,1.06381,115.881,6.54587,109.336
Accelerating,29,14.5,29,1.06269,115.881,6.66015,109.221
Accelerating,30,15,30,1.06156,115.881,6.77667,109.105
Accelerating,31,15.5,31,1.0604,115.881,6.89542,108.986
Accelerating,32,16,32,1.05923,115.881,7.01639,108.865
Accelerating,33,16.5,33,1.05803,115.881,7.1396,108.742
Accelerating,34,17,34,1.05681,115.881,7.26504,108.616
Accelerating,35,17.5,35,1.05557,115.881,7.39271,108.489
Accelerating,36,18,36,1.0543,115.881,7.52261,108.359
Accelerating,37,18.5,37,1.0217,112.663,7.65474,105.008
Accelerating,38,19,38,0.990764,109.618,7.7891,101.829
Accelerating,39,19.5,39,0.961368,106.733,7.92569,98.8072
Accelerating,40,20,40,0.933389,103.996,8.06451,95.9317
Accelerating,41,20.5,41,0.90672,101.396,8.20556,93.1907
Accelerating,42,21,42,0.881264,98.9232,8.34884,90.5744
Accelerating,43,21.5,43,0.856932,96.5679,8.49435,88.0735
