Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Starting,0,0,0,1,117.293,14.5149,102.778
Accelerating,1,0.5,0.5,1,117.293,4.30328,102.778
Accelerating,2,1,1.04955,1.0991,117.293,4.33003,112.963
Accelerating,3,1.5,1.59895,1.0988,117.293,4.36008,112.933
Accelerating,4,2,2.1482,1.0985,117.293,4.39079,112.902
Accelerating,5,2.5,2.6973,1.0982,117.293,4.42217,112.87
Accelerating,6,3,3.24625,1.09789,117.293,4.45421,112.838
Accelerating,7,3.5,3.79503,1.09757,117.293,4.48691,112.806
Accelerating,8,4,4.34365,1.09724,117.293,4.52028,112.772
Accelerating,9,4.5,4.89211,1.09691,117.293,4.55431,112.738
Accelerating,10,5,5.4404,1.09658,117.293,4.58899,112.704
Accelerating,11,5.5,5.98851,1.09623,117.293,4.62434,112.668
Accelerating,12,6,6.53645,1.09588,117.293,4.66035,112.632
Accelerating,13,6.5,7.08422,1.09553,117.293,4.69702,112.596
Accelerating,14,7,7.6318,1.09516,117.293,4.73434,112.558
Accelerating,15,7.5,8.17919,1.09479,117.293,4.77232,112.52
Accelerating,16,8,8.7264,1.09442,117.293,4.81095,112.482
Accelerating,17,8.5,9.27342,1.09403,117.293,4.85024,112.442
Accelerating,18,9,9.82024,1.09365,117.293,4.89019,112.402
Accelerating,19,9.5,10.3669,1.09325,117.293,4.93079,112.362
Accelerating,20,10,10.9133,1.09285,117.293,4.97203,112.321
Accelerating,21,10.5,11.4595,1.09244,117.293,5.01393,112.279
Accelerating,22,11,12.0055,1.09203,117.293,5.05648,112.236
Accelerating,23,11.5,12.5513,1.09161,117.293,5.09968,112.193
Accelerating,24,12,13.0969,1.09118,117.293,5.14353,112.149
Accelerating,25,12.5,13.6423,1.09075,117.293,5.18802,112.105
Accelerating,26,13,14.1874,1.09031,117.293,5.23316,112.059
Accelerating,27,13.5,14.7324,1.08986,117.293,5.27895,112.014
Accelerating,28,14,15.2771,1.08941,117.293,5.32538,111.967
Accelerating,29,14.5,15.8216,1.08895,117.293,5.37245,111.92
Accelerating,30,15,16.3658,1.08849,117.293,5.42016,111.873
Accelerating,31,15.5,16.9098,1.08802,117.293,5.46851,111.824
Accelerating,32,16,17.4536,1.08754,117.293,5.5175,111.775
Accelerating,33,16.5,17.9971,1.08706,117.293,5.56713,111.726
Accelerating,34,17,18.5404,1.08657,117.293,5.6174,111.675
Accelerating,35,17.5,19.0834,1.08607,117.293,5.6683,111.624
Accelerating,36,18,19.6262,1.08557,117.293,5.71984,111.573
Accelerating,37,18.5,20.1688,1.08507,117.293,5.77201,111.521
Accelerating,38,19,20.711,1.08455,117.293,5.82482,111.468
Accelerating,39,19.5,21.2531,1.08403,117.293,5.87825,111.414
Accelerating,40,20,21.7948,1.08351,117.293,5.93232,111.36
Accelerating,41,20.5,22.3363,1.08297,117.293,5.98701,111.306
Accelerating,42,21,22.8775,1.08244,117.293,6.04233,111.25
Accelerating,43,21.5,23.4185,1.08189,117.293,6.09828,111.194
Accelerating,44,22,23.9591,1.08134,117.293,6.15485,111.138
Accelerating,45,22.5,24.4995,1.08078,117.293,6.21204,111.081
Accelerating,46,23,25.0396,1.08022,117.293,6.26986,111.023
Accelerating,47,23.5,25.5795,1.07965,117.293,6.3283,110.964
Accelerating,48,24,26.119,1.07908,117.293,6.38736,110.905
Accelerating,49,24.5,26.6582,1.0785,117.293,6.44703,110.846
Accelerating,50,25,27.1972,1.07791,117.293,6.50732,110.785
Accelerating,51,25.5,27.7359,1.07732,117.293,6.56823,110.724
Accelerating,52,26,28.2742,1.07672,117.293,6.62975,110.663
Accelerating,53,26.5,28.8123,1.07612,117.293,6.69188,110.601
Accelerating,54,27,29.35,1.07551,117.293,6.75463,110.538
