Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Accelerating,1,1,1,0,0,0,0,0,2000,3.6,70,1,3.6,1,362.10306074038084,13.10306074038086,349,15.087627530849202,0.17927752499999997,51.90143870612125,66.62299943381666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accelerating,2,1,2,1.5,1.5,1.5,0.5,0,2000,7.288662490164427,70,2.0246284694901187,3.6886624901644263,1.0246284694901184,362.10306074038084,4.507724888329506,357.59533585205133,15.087627530849202,0.18782187034706274,51.90143870612125,134.88682137652927,362.10306074038084,369.4929191228376,415.1605832840872,428.0006013238012,428.0006013238012,285.3337342158675,285.3337342158675,0.102636921978566,0.11888905592327811,0,0.11888905592327811,0,0,0,0
Accelerating,3,1,3,2.536942704235178,4.036942704235178,4.036942704235178,2.0495602197349503,0,2000,10.974848320544695,70,3.0485689779290817,3.686185830380267,1.023940508438963,362.10306074038084,4.747823295182762,357.3552374451981,15.087627530849202,0.1978259706326151,51.90143870612125,203.10480929052025,733.1241656644847,748.0858833311069,840.5459363270863,866.542202399058,866.542202399058,577.694801599372,577.694801599372,0.3104385562372068,0.3595952232563498,0,0.3595952232563498,0,0,0,0
Accelerating,4,1,4,3.560539232148563,7.597481936383741,7.597481936383741,4.646886406595783,0,2000,14.658246419219665,70,4.071735116449907,3.6833980986749704,1.023166138520825,362.10306074038084,5.018078396612929,357.08498234376793,15.087627530849202,0.20908659985887204,51.90143870612125,271.2712063578936,1103.896157786295,1126.4246508023418,1265.645675058811,1304.7893557307332,1304.7893557307332,869.8595704871555,869.8595704871555,0.6233342925711907,0.7220367109593313,0,0.7220367109593313,0,0,0,0
Accelerating,5,1,5,4.583318185710319,12.18080012209406,12.18080012209406,8.289513429265668,0,2000,18.338546620561463,70,5.09404072793374,3.6803002013417987,1.022305611483833,362.10306074038084,5.3184023325231164,356.7846584078577,15.087627530849202,0.22160009718846319,51.90143870612125,339.3802725329685,1474.3877481906022,1504.4772940720432,1690.423925923644,1742.705078271798,1742.705078271798,1161.803385514532,1161.803385514532,1.041244652035647,1.2061214549237196,0,1.2061214549237196,0,0,0,0
Accelerating,6,1,6,5.605193533675656,17.785993655769715,17.785993655769715,12.974625468923852,0,2000,22.015439765849045,70,6.115399934958067,3.676893145287581,1.021359207024328,362.10306074038084,5.64869748889038,356.45436325149046,15.087627530849202,0.2353623953704325,51.90143870612125,407.42628640427375,1844.5677391209647,1882.211978694862,2114.8449198818676,2180.2524947235747,2180.2524947235747,1453.5016631490498,1453.5016631490498,1.5640813127842197,1.8117471479024903,0,1.8117471479024903,0,0,0,0
Accelerating,7,1,7,6.626079538470233,24.412073194239948,24.412073194239948,18.699058182242574,0,2000,25.688617810456513,70,7.135727169571252,3.673178044607467,1.0203272346131853,362.10306074038084,6.008855860379181,356.09420488000166,15.087627530849202,0.2503689941824659,51.90143870612125,475.4035471782158,2214.4050340998424,2259.596973571268,2538.8730040126607,2617.3948494975884,2617.3948494975884,1744.929899665059,1744.929899665059,2.1917471387762384,2.5388012727629317,0,2.5388012727629317,0,0,0,0
Accelerating,8,1,8,7.645890786877846,32.057963981117794,32.057963981117794,25.459301119278685,0,2000,29.357773924364555,70,8.154937201212375,3.6691561139080413,1.0192100316411226,362.10306074038084,6.398759697629089,355.70430104275175,15.087627530849202,0.26661498740121203,51.90143870612125,543.3063765391826,2583.8686487100454,2636.600661949026,2962.47265387531,3054.0955194590824,3054.0955194590824,2036.0636796393883,2036.0636796393883,2.9241362115398566,3.3871611392793435,0,3.3871611392793435,0,0,0,0
Accelerating,9,1,9,8.664542217032938,40.72250619815073,40.72250619815073,33.251500377858775,0,2000,33.02260259258411,70,9.172945164606695,3.6648286682195494,1.0180079633943193,362.10306074038084,6.818281515763397,355.28477922461747,15.087627530849202,0.2840950631568082,51.90143870612125,611.1291205080232,2952.9277207045966,3013.1915517393845,3385.608485100432,3490.3180258767343,3490.3180258767343,2326.878683917823,2326.878683917823,3.761133864800797,4.3566939242451035,0,4.3566939242451035,0,0,0,0
Accelerating,10,1,10,9.681949146303856,50.40445534445459,50.40445534445459,42.07146149644069,0,2000,36.68279972326336,70,10.189666589795376,3.660197130679254,1.0167214251886816,362.10306074038084,7.267283349530945,354.8357773908499,15.087627530849202,0.30280347289712267,51.90143870612125,678.8661514427179,3321.5515201077615,3389.3382858242467,3808.2452649710635,3926.026046361921,3926.026046361921,2617.350697574614,2617.350697574614,4.7026167219741986,5.447256714901193,0,5.447256714901193,0,0,0,0
